,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
45,"['trrp', 'gas', 'regas', 'gad']",3,1,15,113822,76.2589928057554,0,0.6233516483516485,88
46,"['regas', 'mk', 'remk']",3,3,18,323033,77.6978417266187,0,0.6708791208791208,160
47,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,24,105374,74.10071942446044,0,0.5899725274725274,105
48,"['rp', 'regas', 'trgas', 'mk', 'trmk', 'ctwav']",4,1,16,458686,74.82014388489209,0,0.6137362637362638,108
49,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'trgad', 'remk']",3,3,23,575096,79.85611510791367,0,0.675824175824176,154
50,"['rerp', 'regad', 'trgad', 'mk']",3,1,19,176117,78.41726618705036,0,0.6188186813186812,88
51,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,13,38606,71.94244604316546,0,0.6703296703296703,102
52,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,14,49900,75.53956834532374,0,0.599587912087912,125
53,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'mk', 'remk']",4,2,21,1402930,69.06474820143885,0,0.6321428571428571,65
54,"['rp', 'gas', 'trgas', 'regad']",2,3,24,136856,75.53956834532374,0,0.599587912087912,122
55,"['rerp', 'trrp', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,17,581739,76.97841726618705,0,0.5997252747252747,122
56,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,19,73212,76.97841726618705,0,0.5807692307692307,98
57,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,12,65651,77.6978417266187,0,0.6708791208791208,87
58,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,15,64262,80.57553956834532,0,0.6616758241758242,125
59,"['rerp', 'regas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",4,2,22,1402930,74.10071942446044,0,0.5804945054945054,61
60,"['rp', 'trrp', 'regas', 'trgas', 'regad', 'trgad', 'trmk', 'ctwav']",4,1,23,1026956,79.85611510791367,0,0.6568681318681319,46
61,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,17,234460,74.82014388489209,0,0.5853021978021977,127
62,"['rerp', 'trrp']",3,2,13,141324,69.06474820143885,0,0.5278846153846154,128
63,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,20,103067,79.13669064748201,0,0.6425824175824176,130
64,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,15,186986,75.53956834532374,0,0.599587912087912,133
65,"['rerp', 'gas', 'trgas', 'gad', 'trgad', 'mk', 'trmk']",4,1,21,863122,76.97841726618705,0,0.6281593406593406,108
66,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,24,139208,70.50359712230215,0,0.5943681318681319,128
67,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,18,236224,76.97841726618705,0,0.6281593406593406,132
68,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,1,16,461822,79.13669064748201,0,0.6520604395604396,123
69,"['rp', 'gad', 'trmk']",2,2,22,82006,74.10071942446044,0,0.5236263736263735,94
70,"['rp', 'trrp', 'gas', 'mk', 'remk', 'trmk']",4,2,19,1160172,71.22302158273381,0,0.5517857142857143,65
71,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,13,199728,74.82014388489209,0,0.6516483516483516,160
72,"['rerp', 'gas', 'regas', 'trgas', 'remk', 'ctwav']",4,2,23,1666574,75.53956834532374,0,0.5616758241758242,67
73,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,17,81095,78.41726618705036,0,0.6756868131868132,131
74,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,14,352238,80.57553956834532,0,0.6521978021978022,111
75,"['regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,12,149189,78.41726618705036,0,0.6567307692307692,183
76,"['trrp', 'regas', 'trgad', 'remk']",3,3,21,481168,78.41726618705036,0,0.6567307692307692,153
77,"['trrp', 'regas', 'trgas', 'trgad']",3,3,21,481168,74.10071942446044,0,0.6657967032967032,165
78,"['trrp', 'regas', 'trgas', 'trgad', 'remk']",3,3,21,482246,76.97841726618705,0,0.6092032967032966,155
79,"['trrp', 'regas', 'trgad']",3,3,21,480090,79.85611510791367,0,0.6473901098901099,168
80,"['trrp', 'regas', 'trgas', 'regad', 'trgad', 'remk']",4,1,21,862044,74.82014388489209,0,0.6800824175824174,110
81,"['trrp', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk']",4,1,21,863122,74.82014388489209,0,0.5663461538461538,108
82,"['trrp', 'regas', 'regad', 'trgad', 'mk', 'remk']",4,1,21,862044,74.10071942446044,0,0.6184065934065934,107
83,"['trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad']",3,1,21,214452,77.6978417266187,0,0.623489010989011,89
84,"['regas', 'gad', 'regad', 'mk', 'trmk']",4,2,17,940312,76.2589928057554,0,0.6138736263736263,171
85,"['rp', 'gas', 'trgas', 'remk']",2,2,17,56602,77.6978417266187,0,0.6140109890109889,96
86,"['rerp', 'trrp', 'gad', 'trgad', 'remk', 'trmk']",2,1,22,52818,76.2589928057554,0,0.6043956043956044,63
