,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
214,"['rp', 'rerp', 'gas', 'regas', 'mk']",3,3,96,9027732,80.66666666666667,0.7995748664147506,0,135
215,"['rp', 'trrp', 'gas', 'mk', 'remk']",4,3,34,4645623,78.5,0.7808081143790525,0,160
216,"['rp', 'rerp', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'trmk']",4,1,89,14346487,78.66666666666667,0.7811197221256554,0,90
217,"['gas', 'regas', 'trgas', 'trgad', 'mk', 'remk']",3,2,94,6239450,80.33333333333333,0.7970392223305653,0,91
218,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'mk', 'remk']",3,2,94,6244056,82.16666666666667,0.8189429659781994,0,85
219,"['rp', 'rerp', 'trrp', 'gad', 'regad']",3,3,51,2672977,78.5,0.7788771179314994,0,108
220,"['rp', 'gas', 'regas', 'trgad', 'mk', 'remk']",3,2,94,6239450,81.33333333333333,0.8081391479875125,0,89
221,"['rerp', 'mk', 'remk']",3,1,80,2763480,73.66666666666667,0.7323903459653484,0,67
222,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'mk']",3,2,94,6239450,82.0,0.8159718773969682,0,93
223,"['rp', 'gas', 'regas', 'trgad', 'mk']",3,2,94,6234844,80.0,0.7933825456735673,0,93
224,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'mk', 'remk']",3,2,94,6248662,81.33333333333333,0.8090726826235756,0,99
225,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'ctwav']",3,2,94,6253268,79.66666666666667,0.7905035452823849,0,92
226,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'remk']",3,2,94,6244056,80.5,0.7989445751174785,0,95
227,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",2,1,23,68718,52.0,0.47784764496781584,0,86
228,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'remk', 'ctwav']",3,2,94,6248662,81.5,0.8100051179918928,0,88
229,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,3,87,30869514,78.5,0.7769762020072628,0,148
230,"['gas', 'regas', 'gad', 'regad', 'trmk', 'ctwav']",3,3,35,1294161,74.16666666666667,0.7305638349925687,0,109
231,"['trgas', 'mk', 'remk', 'trmk']",3,3,13,203412,62.5,0.6102727270433529,0,183
232,"['rp', 'gas', 'regas', 'trgas', 'trgad', 'mk', 'ctwav']",4,3,57,13447025,79.66666666666667,0.7900853457202225,0,146
233,"['rp', 'rerp', 'gas', 'regas', 'mk', 'remk']",3,2,94,6239450,80.0,0.794847995819459,0,86
234,"['gas', 'regas', 'gad', 'regad', 'mk']",4,3,38,5794536,79.0,0.7828504751058257,0,154
235,"['rp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'trmk', 'ctwav']",2,3,79,1484880,78.0,0.7726704117732809,0,91
236,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'mk', 'remk']",3,2,94,6244056,81.0,0.8052651611548838,0,105
237,"['rerp', 'gas', 'gad', 'regad', 'trgad', 'mk']",3,2,62,2734538,79.5,0.788148754335657,0,117
238,"['rp', 'gas', 'regas', 'gad', 'regad', 'trgad']",3,1,15,121944,73.83333333333333,0.7285018532030579,0,115
