,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
87,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,81.86900958466454,0,0.8157481224725592,1
88,"['trrp', 'gas', 'trgas', 'mk', 'ctwav']",4,3,72,20618228,84.10543130990415,0,0.8406406059438989,5
89,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,68.84984025559105,0,0.6799101354387317,1
90,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'trmk']",4,2,49,7194576,86.0223642172524,0,0.8543924513768535,4
91,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,77.71565495207668,0,0.7759715000962835,1
92,"['rp', 'rerp', 'trrp', 'trgad', 'ctwav']",3,2,86,5190402,84.90415335463258,0,0.8435188394633802,2
93,"['gas', 'regas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,3,42,7039841,81.15015974440895,0,0.8056845753899481,5
94,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,78.1150159744409,0,0.7760267026124912,1
95,"['rp', 'rerp', 'gas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",3,3,64,4017362,84.34504792332268,0,0.8403466204506065,3
96,"['rerp', 'trrp', 'gas', 'regad', 'mk', 'trmk', 'ctwav']",3,2,78,4280914,82.74760383386581,0,0.8191154759612298,2
97,"['rp', 'regas', 'trgas', 'gad', 'trgad', 'remk']",4,3,37,5763280,85.70287539936102,0,0.8504230053276847,5
98,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30302,74.28115015974441,0,0.732545092753065,1
99,"['rerp', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",3,3,57,3297489,80.03194888178913,0,0.793804480390269,3
100,"['rp', 'trrp', 'trgas', 'regad', 'trgad', 'trmk', 'ctwav']",4,3,66,17336765,88.17891373801918,0,0.8772860902496951,5
101,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72093,60.3035143769968,0,0.5954926503626676,1
102,"['rerp', 'trrp', 'regas']",4,2,45,6079614,85.22364217252397,0,0.8445946466397072,3
103,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,768836,77.31629392971246,0,0.7741549521792156,1
104,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347810,80.99041533546325,0,0.8131356312985428,2
105,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410034,78.59424920127796,0,0.7805969574427113,1
106,"['rerp', 'regas', 'regad', 'trgad', 'mk']",4,3,84,28049303,85.38338658146965,0,0.8484665254509276,5
107,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,768843,84.185303514377,0,0.8392425701264522,1
108,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164321,82.90734824281151,0,0.8227357340008986,1
109,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'mk', 'remk']",4,3,92,33650957,87.46006389776358,0,0.8701161820399256,5
110,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844526,75.07987220447285,0,0.7512754348802876,1
111,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894578,80.67092651757189,0,0.798723923229989,3
112,"['gas', 'regas', 'regad', 'remk', 'trmk', 'ctwav']",3,3,61,3765214,81.38977635782747,0,0.808913280698376,3
113,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,579975,85.38338658146965,0,0.8474600423647217,2
114,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,243296,73.80191693290735,0,0.7301136144810322,1
115,"['trrp', 'regas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",3,1,82,2884495,83.30670926517571,0,0.8282007831054624,1
116,"['rp', 'rerp', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,2,96,26439602,86.10223642172524,0,0.8557622440464728,3
117,"['trrp', 'gas', 'gad']",2,3,52,618659,78.6741214057508,0,0.7810860774119006,2
118,"['mk', 'remk']",4,1,31,1808634,79.2332268370607,0,0.7965877142306952,2
119,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1340737,79.9520766773163,0,0.7965864304512484,2
120,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,507341,83.30670926517571,0,0.8289556454201169,1
121,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,988534,80.03194888178913,0,0.7970755504204378,1
122,"['trrp', 'regad', 'trgad', 'remk']",4,2,56,9004718,81.629392971246,0,0.8100032094486168,3
123,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,39257,65.49520766773163,0,0.6328211053341035,2
124,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,487254,86.10223642172524,0,0.8573977790615572,2
125,"['rp', 'rerp', 'trgas', 'gad', 'regad']",4,1,70,8629514,85.78274760383387,0,0.85279928108351,2
126,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1937729,84.10543130990415,0,0.8359856216701971,2
127,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1627658,82.74760383386581,0,0.8228897875345016,2
128,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2016606,78.83386581469648,0,0.790367802811477,2
129,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1767326,82.98722044728434,0,0.8234764747416394,2
130,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,562452,80.67092651757189,0,0.8016175621028307,2
131,"['trrp', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",4,1,71,9132176,86.98083067092652,0,0.8668040310674627,2
132,"['rp', 'rerp', 'trgas', 'regad', 'remk', 'trmk', 'ctwav']",4,2,65,12508420,85.94249201277955,0,0.8513871236921496,3
133,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,483324,82.50798722044729,0,0.8204159445407279,3
134,"['regas', 'trgad', 'remk']",4,1,42,3112065,81.86900958466454,0,0.8195224340458309,2
135,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1219696,80.11182108626198,0,0.7986969638616086,2
136,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,865278,86.50159744408946,0,0.8578304127350921,2
137,"['gas', 'regas', 'gad', 'regad']",2,2,66,708082,76.51757188498402,0,0.7659926824571538,1
138,"['trrp', 'regas', 'regad', 'mk', 'remk']",4,1,87,13625460,84.82428115015975,0,0.8432813402657424,2
139,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,455765,78.51437699680511,0,0.7828756659605879,2
140,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,336956,84.50479233226837,0,0.8414506707747609,2
141,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk']",3,1,81,2888513,81.0702875399361,0,0.8004146607612812,1
142,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'remk']",3,3,59,3536657,82.66773162939297,0,0.8178714936773862,4
143,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,743658,85.78274760383387,0,0.8572026445856602,3
144,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,764628,78.99361022364218,0,0.787068489633481,1
145,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,670703,80.35143769968052,0,0.8033095834135695,3
146,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,991190,84.58466453674122,0,0.8447076192310162,1
147,"['rerp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,2,89,23239036,84.10543130990415,0,0.8330919827973554,4
148,"['rp', 'trrp', 'regas', 'trgas', 'regad', 'mk', 'trmk', 'ctwav']",4,3,76,22979609,87.06070287539936,0,0.8660350471788946,5
149,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,920072,79.9520766773163,0,0.7916798254059954,2
150,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,197670,76.03833865814697,0,0.7638128249566725,3
151,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,319860,78.91373801916933,0,0.7888439566082548,1
152,"['rp', 'regas', 'trgas', 'trgad', 'trmk', 'ctwav']",4,3,53,11613956,87.1405750798722,0,0.8697952371782528,5
153,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,859702,80.59105431309904,0,0.7999961486616599,1
154,"['rerp', 'regad']",4,3,73,21766157,80.59105431309904,0,0.7971025097888182,5
155,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,182514,80.75079872204473,0,0.8073907182746004,2
156,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,44337,67.81150159744409,0,0.6587059503177354,1
157,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'remk']",3,2,60,2541572,84.10543130990415,0,0.8333436035689068,2
