,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,time
54,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2013259,14.873417721518987,27
55,"['rerp', 'trrp', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,50,4448526,15.242616033755274,25
56,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,566785,19.040084388185655,44
57,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,118787,15.189873417721518,37
58,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,309180,19.356540084388186,61
59,"['rerp', 'regas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",4,2,79,18407439,14.504219409282701,39
60,"['rp', 'trrp', 'regas', 'trgas', 'regad', 'trgad', 'trmk', 'ctwav']",4,1,88,13687273,16.08649789029536,24
61,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1507573,15.29535864978903,28
62,"['rerp', 'trrp']",3,2,23,415659,16.719409282700422,63
63,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1085880,14.978902953586498,66
64,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,738647,15.664556962025317,64
65,"['rerp', 'gas', 'trgas', 'gad', 'trgad', 'mk', 'trmk']",4,1,73,9689876,14.609704641350211,24
66,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2022471,20.147679324894515,27
67,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2075717,15.928270042194093,29
68,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,1,40,2859669,15.348101265822784,25
69,"['rp', 'gad', 'trmk']",2,2,81,1092155,16.930379746835442,42
70,"['rp', 'trrp', 'gas', 'mk', 'remk', 'trmk']",4,2,60,10373049,16.9831223628692,39
71,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,406944,13.660337552742616,89
72,"['rerp', 'gas', 'regas', 'trgas', 'remk', 'ctwav']",4,2,89,23275793,14.715189873417721,40
73,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,543027,14.978902953586498,61
74,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1407284,13.818565400843882,52
75,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1072552,18.459915611814345,61
76,"['rp', 'regas', 'trgad', 'mk', 'remk', 'ctwav']",3,3,55,3090133,16.61392405063291,41
77,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,360731,15.242616033755274,51
78,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,223293,18.037974683544302,43
79,"['rp', 'trrp', 'gas', 'regas', 'gad', 'trgad', 'ctwav']",3,1,76,2500420,16.19198312236287,17
80,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,847732,15.981012658227849,38
81,"['trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",4,2,88,22264523,13.080168776371307,40
82,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,718679,12.921940928270041,43
83,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,491215,16.033755274261605,91
84,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,190383,11.972573839662447,62
85,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,368784,19.09282700421941,26
86,"['rp', 'rerp', 'gas', 'regas', 'trmk']",4,3,80,25489899,14.820675105485233,55
87,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,577074,13.60759493670886,39
88,"['trrp', 'gas', 'trgas', 'mk', 'ctwav']",4,3,72,20658225,13.60759493670886,55
89,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,88792,18.723628691983123,26
90,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'trmk']",4,2,49,7222363,14.662447257383967,42
91,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,856355,13.185654008438819,25
92,"['rp', 'rerp', 'trrp', 'trgad', 'ctwav']",3,2,86,5212713,17.29957805907173,29
93,"['gas', 'regas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,3,42,7063188,12.869198312236287,55
94,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,45614,17.51054852320675,24
95,"['rp', 'rerp', 'gas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",3,3,64,4033975,15.664556962025317,41
96,"['rerp', 'trrp', 'gas', 'regad', 'mk', 'trmk', 'ctwav']",3,2,78,4301153,16.29746835443038,29
97,"['rp', 'regas', 'trgas', 'gad', 'trgad', 'remk']",4,3,37,5784407,14.18776371308017,55
98,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,32115,18.196202531645568,25
99,"['rerp', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",3,3,57,3312548,15.50632911392405,40
100,"['rp', 'trrp', 'trgas', 'regad', 'trgad', 'trmk', 'ctwav']",4,3,66,17373432,16.033755274261605,55
101,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,75016,18.40717299578059,25
102,"['rerp', 'trrp', 'regas']",4,2,45,6105181,14.978902953586498,38
103,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,778641,17.40506329113924,28
104,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,353545,17.457805907172997,64
105,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,417175,17.141350210970465,26
106,"['rerp', 'regas', 'regad', 'trgad', 'mk']",4,3,84,28095960,14.082278481012658,55
107,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,779758,16.08649789029536,38
108,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1177826,16.666666666666668,38
109,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'mk', 'remk']",4,3,92,33702054,15.453586497890296,56
110,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,852555,15.717299578059071,43
111,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,902385,15.50632911392405,92
112,"['gas', 'regas', 'regad', 'remk', 'trmk', 'ctwav']",3,3,61,3781309,14.18776371308017,41
113,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,590002,14.978902953586498,51
114,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,247551,19.462025316455698,43
115,"['trrp', 'regas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",3,1,82,2905770,15.559071729957806,17
116,"['rp', 'rerp', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,2,96,26492919,15.137130801687764,42
117,"['trrp', 'gas', 'gad']",2,3,52,624468,15.242616033755274,59
118,"['mk', 'remk']",4,1,31,1826431,11.339662447257384,22
119,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1349210,16.08649789029536,66
120,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,516184,17.985232067510548,38
121,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,997229,14.451476793248945,43
122,"['trrp', 'regad', 'trgad', 'remk']",4,2,56,9035835,13.50210970464135,39
123,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,40626,18.196202531645568,63
124,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,494025,14.082278481012658,65
125,"['rp', 'rerp', 'trgas', 'gad', 'regad']",4,1,70,8668401,15.242616033755274,23
126,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1947978,19.567510548523206,27
127,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1640127,14.18776371308017,29
128,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2027077,15.137130801687764,27
129,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1780313,16.508438818565402,29
130,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,569741,15.031645569620252,65
131,"['trrp', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",4,1,71,9172173,13.343881856540085,23
132,"['rp', 'rerp', 'trgas', 'regad', 'remk', 'trmk', 'ctwav']",4,2,65,12545087,14.504219409282701,39
